base_model,train_level,class_id,class_name,map50,map50_95
yolo11s.pt,2,0,sheep,0.9746309234144621,0.6234778740431055
yolo11s.pt,2,1,cattle,0.9727496615390258,0.6580063159469337
yolo11s.pt,2,2,seal,0.9842004889134519,0.6994584310250442
yolo11s.pt,2,3,camelus,0.9269805506051987,0.5353904399726714
yolo11s.pt,2,4,kiang,0.9402778348413044,0.5311967763956237
yolo11s.pt,2,5,zebra,0.9482850502556645,0.5861597971791361
yolo11s.pt,3,0,sheep,0.975236172194254,0.6273161809388004
yolo11s.pt,3,1,cattle,0.9759487042046838,0.6653797849539247
yolo11s.pt,3,2,seal,0.9844921482796262,0.7147315233103602
yolo11s.pt,3,3,camelus,0.9273899958726051,0.5498451348692359
yolo11s.pt,3,4,kiang,0.947769796895512,0.5447782354582607
yolo11s.pt,3,5,zebra,0.9457414904285482,0.591978623645892
yolo11s.pt,4,0,sheep,0.9801285705165864,0.6553027175814917
yolo11s.pt,4,1,cattle,0.9793026591468647,0.6865658409383777
yolo11s.pt,4,2,seal,0.9861768214153762,0.7230204101268897
yolo11s.pt,4,3,camelus,0.9389036205831275,0.5729475717534462
yolo11s.pt,4,4,kiang,0.9574919065531122,0.5591610736380562
yolo11s.pt,4,5,zebra,0.9513687923342321,0.6148207331007212
yolo11m.pt,1,0,sheep,0.9204408843350103,0.4970407584795541
yolo11m.pt,1,1,cattle,0.8927700306686174,0.5262234269545969
yolo11m.pt,1,2,seal,0.8823401377089559,0.5149537731695732
yolo11m.pt,1,3,camelus,0.733336832980317,0.3947789574462054
yolo11m.pt,1,4,kiang,0.8179142420677763,0.4040590350310467
yolo11m.pt,1,5,zebra,0.7232659824076832,0.45413709901246513
yolo11m.pt,2,0,sheep,0.9800201185111171,0.6519861930644422
yolo11m.pt,2,1,cattle,0.9805682741457762,0.6794113381746617
yolo11m.pt,2,2,seal,0.9841445851987412,0.7155256633116334
yolo11m.pt,2,3,camelus,0.9615625723483455,0.5856145329820117
yolo11m.pt,2,4,kiang,0.9558012830357325,0.5695635812689863
yolo11m.pt,2,5,zebra,0.9725746524539792,0.6387716007185483
yolo11m.pt,3,0,sheep,0.9805267863610753,0.654553800037952
yolo11m.pt,3,1,cattle,0.9807980681644412,0.6830319040913182
yolo11m.pt,3,2,seal,0.985791356888308,0.7248535920126801
yolo11m.pt,3,3,camelus,0.9519537647785441,0.5814360158128248
yolo11m.pt,3,4,kiang,0.9652091696862224,0.5528903160549421
yolo11m.pt,3,5,zebra,0.972767326810599,0.6411775195223939
yolo11m.pt,4,0,sheep,0.9832382510767285,0.6673534303318166
yolo11m.pt,4,1,cattle,0.9811229222507849,0.6947703849871599
yolo11m.pt,4,2,seal,0.986098355469689,0.7310573314802856
yolo11m.pt,4,3,camelus,0.950402650910983,0.5823350424750122
yolo11m.pt,4,4,kiang,0.949197222075598,0.5632514084355372
yolo11m.pt,4,5,zebra,0.9734504361905868,0.6346424090026849
yolo11l.pt,1,0,sheep,0.9119231402493638,0.48997648360088525
yolo11l.pt,1,1,cattle,0.8961959886609796,0.5419289515430926
yolo11l.pt,1,2,seal,0.9044876741733835,0.5332323430091015
yolo11l.pt,1,3,camelus,0.7569672176652484,0.39576692196392493
yolo11l.pt,1,4,kiang,0.8071962157345561,0.3974823165290002
yolo11l.pt,1,5,zebra,0.692370988224531,0.4451256561798072
yolo11l.pt,2,0,sheep,0.9811020869017592,0.6566832282958427
yolo11l.pt,2,1,cattle,0.9781095436163464,0.676441979496755
yolo11l.pt,2,2,seal,0.9854878198822924,0.7182704564744448
yolo11l.pt,2,3,camelus,0.9461992558727679,0.5820820044214241
yolo11l.pt,2,4,kiang,0.957444558015339,0.5625127039255832
yolo11l.pt,2,5,zebra,0.9668750606908458,0.6385566688155908
yolo11l.pt,3,0,sheep,0.9805895198540863,0.6563610199854136
yolo11l.pt,3,1,cattle,0.9805901943332762,0.6836325549883255
yolo11l.pt,3,2,seal,0.9857541917435002,0.7246351887089387
yolo11l.pt,3,3,camelus,0.9431861150896332,0.5846202011199098
yolo11l.pt,3,4,kiang,0.963958959301469,0.5602655067132551
yolo11l.pt,3,5,zebra,0.9672798543891389,0.6334467307112076
yolo11l.pt,4,0,sheep,0.9837743246062272,0.6707754578617051
yolo11l.pt,4,1,cattle,0.9848565089283732,0.7008853613348084
yolo11l.pt,4,2,seal,0.9869448846281325,0.7314244486561505
yolo11l.pt,4,3,camelus,0.9567567013660339,0.5942592411393461
yolo11l.pt,4,4,kiang,0.946656379065078,0.5577866092637846
yolo11l.pt,4,5,zebra,0.9661930461883743,0.6430277056018833
yolo11x.pt,1,0,sheep,0.9347301835747942,0.5270642652872212
yolo11x.pt,1,1,cattle,0.9136932129344717,0.5656948898597786
yolo11x.pt,1,2,seal,0.9113073882314215,0.5506816133210254
yolo11x.pt,1,3,camelus,0.7872425172238158,0.4275161120707245
yolo11x.pt,1,4,kiang,0.8417216478628758,0.4210227666919025
yolo11x.pt,1,5,zebra,0.740433780660318,0.46802045522723895
yolo11x.pt,2,0,sheep,0.980623837038767,0.6603916537987893
yolo11x.pt,2,1,cattle,0.9826664808313753,0.6857723161554763
yolo11x.pt,2,2,seal,0.9844824430761833,0.7218850883422642
yolo11x.pt,2,3,camelus,0.9578489868427764,0.5946163146959977
yolo11x.pt,2,4,kiang,0.9457837899865992,0.5544745486636883
yolo11x.pt,2,5,zebra,0.977146264453126,0.651105352349252
yolo11x.pt,3,0,sheep,0.9823266380436343,0.6576460914114356
yolo11x.pt,3,1,cattle,0.9819552574405108,0.6881934154619789
yolo11x.pt,3,2,seal,0.9850138280475298,0.7246079658594289
yolo11x.pt,3,3,camelus,0.9580579469566518,0.5912430570662914
yolo11x.pt,3,4,kiang,0.9546770501128476,0.5693547788054576
yolo11x.pt,3,5,zebra,0.9760013305886235,0.6399867465805991
yolo11x.pt,4,0,sheep,0.9830846656921173,0.673092448114828
yolo11x.pt,4,1,cattle,0.98384087808256,0.7016614386811022
yolo11x.pt,4,2,seal,0.9874082785737673,0.7376059627322071
yolo11x.pt,4,3,camelus,0.9660988846552266,0.5992216353180885
yolo11x.pt,4,4,kiang,0.9526024517849591,0.5645704950295538
yolo11x.pt,4,5,zebra,0.9702340461484463,0.6637655377781411
